text_en,level,example_en,example_ru,tags,extra
about,A1,,,"[""verb"", ""adverb"", ""preposition""]","{""parts_of_speech"": [""verb"", ""adverb"", ""preposition""], ""source"": ""Oxford 3000"", ""original_line"": ""about prep. , adv.""}"
above,A1,,,"[""verb"", ""adverb"", ""preposition""]","{""parts_of_speech"": [""verb"", ""adverb"", ""preposition""], ""source"": ""Oxford 3000"", ""original_line"": ""above prep. , adv.""}"
across,A1,,,"[""verb"", ""adverb"", ""preposition""]","{""parts_of_speech"": [""verb"", ""adverb"", ""preposition""], ""source"": ""Oxford 3000"", ""original_line"": ""across prep. , adv.""}"
action,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""action n.""}"
activity,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""activity n.""}"
actor,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""actor n.""}"
actress,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""actress n.""}"
add,A1,,,"[""verb""]","{""parts_of_speech"": [""verb""], ""source"": ""Oxford 3000"", ""original_line"": ""add v.""}"
address,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""address n.""}"
adult,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""adult n.""}"
advice,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""advice n.""}"
afraid,A1,,,"[""adjective""]","{""parts_of_speech"": [""adjective""], ""source"": ""Oxford 3000"", ""original_line"": ""afraid adj.""}"
after,A1,,,"[""preposition""]","{""parts_of_speech"": [""preposition""], ""source"": ""Oxford 3000"", ""original_line"": ""after prep.""}"
afternoon,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""afternoon n.""}"
again,A1,,,"[""verb"", ""adverb""]","{""parts_of_speech"": [""verb"", ""adverb""], ""source"": ""Oxford 3000"", ""original_line"": ""again adv.""}"
age,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""age n.""}"
ago,A1,,,"[""verb"", ""adverb""]","{""parts_of_speech"": [""verb"", ""adverb""], ""source"": ""Oxford 3000"", ""original_line"": ""ago adv.""}"
agree,A1,,,"[""verb""]","{""parts_of_speech"": [""verb""], ""source"": ""Oxford 3000"", ""original_line"": ""agree v.""}"
air,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""air n.""}"
airport,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""airport n.""}"
all,A1,,,"[""noun"", ""determiner"", ""pronoun""]","{""parts_of_speech"": [""noun"", ""determiner"", ""pronoun""], ""source"": ""Oxford 3000"", ""original_line"": ""all det. , pron.""}"
also,A1,,,"[""verb"", ""adverb""]","{""parts_of_speech"": [""verb"", ""adverb""], ""source"": ""Oxford 3000"", ""original_line"": ""also adv.""}"
always,A1,,,"[""verb"", ""adverb""]","{""parts_of_speech"": [""verb"", ""adverb""], ""source"": ""Oxford 3000"", ""original_line"": ""always adv.""}"
amazing,A1,,,"[""adjective""]","{""parts_of_speech"": [""adjective""], ""source"": ""Oxford 3000"", ""original_line"": ""amazing adj.""}"
and,A1,,,"[""noun"", ""conjunction""]","{""parts_of_speech"": [""noun"", ""conjunction""], ""source"": ""Oxford 3000"", ""original_line"": ""and conj.""}"
angry,A1,,,"[""adjective""]","{""parts_of_speech"": [""adjective""], ""source"": ""Oxford 3000"", ""original_line"": ""angry adj.""}"
animal,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""animal n.""}"
another,A1,,,"[""noun"", ""determiner"", ""pronoun""]","{""parts_of_speech"": [""noun"", ""determiner"", ""pronoun""], ""source"": ""Oxford 3000"", ""original_line"": ""another det./pron.""}"
answer,A1,,,"[""noun"", ""verb""]","{""parts_of_speech"": [""noun"", ""verb""], ""source"": ""Oxford 3000"", ""original_line"": ""answer n. , v.""}"
any,A1,,,"[""noun"", ""determiner"", ""pronoun""]","{""parts_of_speech"": [""noun"", ""determiner"", ""pronoun""], ""source"": ""Oxford 3000"", ""original_line"": ""any det. , pron.""}"
